11390015625134190|34190|Sociologia internationalis.|2016|$241.27|LEDBD82181||905823||||
11390015625134190|34190|The Journal of peasant studies.|2016|$0.00|LEDBC84251||896085||||
11390015625134191|34191|Contemporary issues in early childhood.|2015|$0.00|LEA30683311||3068331||||
11390015625134191|34191|Contemporary issues in early childhood.|2016|$0.00|LEA30683311||3068331||||
11390015625134193|34193|Canadian journal of community mental health = Revue canadienne de santé mentale|2015|$278.00|LEDAC99602||708438||||
11390015625134193|34193|Canadian journal of community mental health = Revue canadienne de santé mentale|2016|$278.00|LEDAC99602||708438||||
11390015625134200|34200|The Journal of peasant studies.|2015|$887.00|LEDBC84251||896085||||
11390015625134205|34205|Chronicle of higher education (Online)|2015|$9745.00|LEA36562141||3656214||||
11390015625134205|34205|Chronicle of higher education (Online)|2016|$10135.00|LEA36562141||3656214||||
11390015625134205|34205|Educational research.|2015|$721.00|LEDBC28081||890524||||
11390015625134205|34205|Educational research.|2016|$0.00|LEDBC28081||890524||||
11390015625134205|34205|International journal of qualitative studies in education : QSE.|2015|$1426.00|LEDEN17431||1662755||||
11390015625134205|34205|International journal of qualitative studies in education : QSE.|2016|$0.00|LEDEN17431||1662755||||
11390015625134205|34205|Journal of moral education.|2015|$493.00|LEDBC83771||896037||||
11390015625134205|34205|Journal of moral education.|2016|$0.00|LEDBC83771||896037||||
11390015625134205|34205|The Teaching professor.|2015|$1099.00|LEDEN16432||1662655||||
11390015625134205|34205|The Teaching professor.|2016|$1199.00|LEDEN16432||1662655||||
11390015625134211|34211|Music Cataloging Bulletin|2015|$50.00|LEAAJ07872||76311||||
11390015625134211|34211|Music Cataloging Bulletin|2016|$50.00|LEAAJ07872||76311||||
11390015625134220|34220|CALICO journal.|2015|$157.00|LEABM94903||337609||||
11390015625134220|34220|CALICO journal.|2016|$10.00|LEABM94903||337609||||
11390015625134220|34220|Job information list.|2015|-$362.00|LEA52145621||5214562||||
11390015625134220|34220|Job information list.|2016|$0.00|LEA52145621||5214562||||
11390015625134220|34220|Translation studies abstracts/Bibliography of translation studies / [editors, Ga|2015|$0.00|LEA61292191||6129219||||
11390015625134220|34220|Translation studies bibliography.|2015|$487.73|LEA65616381||6561638||||
11390015625134220|34220|Translation studies bibliography.|2016|$612.48|LEA65616381||6561638||||
11390015625134224|34224|Aftenposten (Oslo, Norway : Online). English.|2016|$272.57|LEA66187071||6618707||||
11390015625134224|34224|Merkur.|2015|$632.26|LEDBD06021||898254||||
11390015625134224|34224|Merkur.|2016|$0.00|LEDBD06021||898254||||
11390015625134227|34227|Gravesiana : the journal of the Robert Graves Society.|2015|-$78.53|LEDGU57911||2191424||||
11390015625134227|34227|Gravesiana : the journal of the Robert Graves Society.|2016|$0.00|LEDGU57911||2191424||||
11390015625134227|34227|London review of books (Online)|2015|$0.00|LEA63160091||6316009||||
11390015625134227|34227|London review of books (Online)|2016|$1425.00|LEA63160091||6316009||||
11390015625134227|34227|Menckeniana.|2015|$30.00|LEDBJ71932||949303||||
11390015625134227|34227|Menckeniana.|2016|$30.00|LEDBJ71932||949303||||
11390015625134228|34228|Publications of the Modern Language Association of America.|2015|$207.00|LEACC45851||438453||||
11390015625134228|34228|Publications of the Modern Language Association of America.|2016|$216.00|LEACC45851||438453||||
11390015625134232|34232|Cinema journal.|2016|$247.00|LEDBC02982||888035||||
11390015625134232|34232|Film score monthly (Online)|2015|$157.80|LEA37213791||3721379||||
11390015625134232|34232|Film score monthly (Online)|2016|$157.80|LEA37213791||3721379||||
11390015625134235|34235|Asian cinema.|2016|$449.00|LEA66818251||6681825||||
11390015625134236|34236|Awards & prizes for children's and young people's literature.|2015|$0.00|LEA31856481||3185648||||
11390015625134240|34240|Science (New York, N.Y.)|2015|$12385.00|LEACD26994||439961||||
11390015625134240|34240|Science (New York, N.Y.)|2016|$29203.00|LEACD26994||439961||||
11390015625134245|34245|Duke mathematical journal.|2015|$285.00|LEDBC24501||890167||||
11390015625134245|34245|Duke mathematical journal.|2016|$300.00|LEDBC24501||890167||||
11390015625134245|34245|Journal of algebraic geometry.|2015|$408.00|LEDHF58301||2300479||||
11390015625134245|34245|Journal of algebraic geometry.|2016|$423.00|LEDHF58301||2300479||||
11390015625134245|34245|Locus : SIAM's online journal archive, 1952-1996.|2015|$140.00|LEA38188992||3818899||||
11390015625134245|34245|Locus : SIAM's online journal archive, 1952-1996.|2015|$16035.00|LEA38188991||3818899||||
11390015625134245|34245|Locus : SIAM's online journal archive, 1952-1996.|2016|$140.00|LEA38188992||3818899||||
11390015625134245|34245|Locus : SIAM's online journal archive, 1952-1996.|2016|$8600.00|LEA38188991||3818899||||
11390015625134245|34245|Mathematical Sciences Publishers|2015|$1530.00|LEA37239921||-1074975||||
11390015625134245|34245|Mathematical Sciences Publishers|2016|$1660.00|LEA37239921||-1118340||||
11390015625134250|34250|American institute of Physics|2015|$33433.00|LEDBB58773||-1074967||||
11390015625134250|34250|American institute of Physics|2016|$47284.00|LEDBB58773||-1118332||||
11390015625134250|34250|JCP, biochemical physics.|2015|$0.00|LEA41001711||4100171||||
11390015625134250|34250|JCP, biochemical physics.|2016|$0.00|LEA41001711||4100171||||
11390015625134255|34255|American Chemical Society Online Package|2015|$900.00|LEDBB37505||-1077631||||
11390015625134255|34255|American Chemical Society Online Package|2016|$0.00|LEDBB37505||-1120995||||
11390015625134255|34255|Applied spectroscopy.|2015|$0.00|LEDBB58832||883661||||
11390015625134255|34255|Applied spectroscopy.|2016|$2245.00|LEDBB58832||883661||||
11390015625134255|34255|Radiochimica acta.|2015|$2552.00|LEDBD61252||903747||||
11390015625134255|34255|Radiochimica acta.|2016|$0.00|LEDBD61252||903747||||
11390015625134265|34265|Cellular and molecular biology (Noisy-le-Grand, France)|2015|$832.32|LEDDF64432||1364580||||
11390015625134265|34265|Cellular and molecular biology (Noisy-le-Grand, France)|2016|$848.68|LEDDF64432||1364580||||
11390015625134265|34265|European journal of phycology.|2015|$803.00|LEDDD57051||1345467||||
11390015625134265|34265|European journal of phycology.|2016|$0.00|LEDDD57051||1345467||||
11390015625134265|34265|Mycotaxon.|2015|$380.00|LEDEU83793||1728281||||
11390015625134265|34265|Mycotaxon.|2016|$0.00|LEDEU83793||1728281||||
11390015625134271|34271|The International journal of developmental biology (Online)|2015|$1156.22|LEA40801021||4080102||||
11390015625134271|34271|The International journal of developmental biology (Online)|2016|$1482.90|LEA40801021||4080102||||
11390015625134271|34271|The Journal of general physiology.|2015|$1815.00|LEDBC82312||895892||||
11390015625134271|34271|The Journal of general physiology.|2016|$1870.00|LEDBC82312||895892||||
11390015625134273|34273|International journal of sport nutrition and exercise metabolism.|2015|$464.25|LEA35242711||3524271||||
11390015625134273|34273|International journal of sport nutrition and exercise metabolism.|2016|$501.75|LEA35242711||3524271||||
11390015625134273|34273|International journal of sports physiology and performance : IJSPP.|2015|$554.25|LEA36982181||3698218||||
