account	subaccount	title	year	price	orderNumber	titleControl	issn	callNumber	notes
11390014164034103	34103	Dialogue 	2016	$181.00	LEABC27554	ABC2755	0012-2157	BX 8605.1 .D541	Dialogue: a Journal of Mormon Thought
11390014164034103	34103	Ensign 	2015		LEDCF37431	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2015		LEDCF37432	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2015		LEDCF37433	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2015		LEDCF37434	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2015		LEDCF37435	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2016		LEDCF37431	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2016		LEDCF37432	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2016		LEDCF37433	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2016		LEDCF37434	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Ensign 	2016		LEDCF37435	DCF3743	0884-1136	BX 8605.1 .En77	
11390014164034103	34103	Exponent II	2015	$50.00	LEDAF41442	DAF4144	1094-7760	BX 8605.1 .Ex75	
11390014164034103	34103	Exponent II	2016		LEDAF41442	DAF4144	1094-7760	BX 8605.1 .Ex75	
11390014164034103	34103	Friend 	2015		LEDAZ90181	DAZ9018	0009-4102	BX 8605.1 .F915	
11390014164034103	34103	Friend 	2015		LEDAZ90182	DAZ9018	0009-4102	BX 8605.1 .F915	
11390014164034103	34103	Friend 	2015		LEDAZ90184	DAZ9018	0009-4102	BX 8605.1 .F915	
11390014164034103	34103	Friend 	2016		LEDAZ90181	DAZ9018	0009-4102	BX 8605.1 .F915	
11390014164034103	34103	Friend 	2016		LEDAZ90182	DAZ9018	0009-4102	BX 8605.1 .F915	
11390014164034103	34103	Friend 	2016		LEDAZ90184	DAZ9018	0009-4102	BX 8605.1 .F915	
11390014164034103	34103	International journal of Mormon studies	2015		LEA63804081	a6380408	1757-5532	BX 8605.1 .In8	
11390014164034103	34103	International journal of Mormon studies	2015	$111.92	LEA63804082	a6380408	1757-5532	BX 8605.1 .In8	
11390014164034103	34103	International journal of Mormon studies	2016		LEA63804081	a6380408	1757-5532	BX 8605.1 .In8	
11390014164034103	34103	International journal of Mormon studies	2016		LEA63804082	a6380408	1757-5532	BX 8605.1 .In8	
11390014164034103	34103	Interpreter 	2015	$63.89	LEA63167931	a6316793	2372-1227	BX 8605.1 .In9	
11390014164034103	34103	Interpreter 	2016	$33.91	LEA63167931	a6316793	2372-1227	BX 8605.1 .In9	
11390014164034103	34103	LDS living	2015		LEA29519061	a2951906	1540-9678	BX 8605.1 .L4593	
11390014164034103	34103	LDS living	2015		LEA29519062	a2951906	1540-9678	BX 8605.1 .L4593	
11390014164034103	34103	LDS living	2016		LEA29519061	a2951906	1540-9678	BX 8605.1 .L4593	
11390014164034103	34103	LDS living	2016		LEA29519062	a2951906	1540-9678	BX 8605.1 .L4593	
11390014164034103	34103	Liahona 	2015		LEDEG97961	DEG9796	1085-4312	BX 8605.5 .L616x	
11390014164034103	34103	Liahona 	2016		LEDEG97961	DEG9796	1085-4312	BX 8605.5 .L616x	
11390014164034103	34103	Liahona 	2015		LEA26273071	a2627307	1522-9157	BX 8605.5 .Su71	
11390014164034103	34103	Liahona 	2016		LEA26273071	a2627307	1522-9157	BX 8605.5 .Su71	
11390014164034103	34103	Liahona 	2015		LEDEG97901	DEG9790	1085-4258	BX 8605.5 .L618x	
11390014164034103	34103	Liahona 	2016		LEDEG97901	DEG9790	1085-4258	BX 8605.5 .L618x	
11390014164034103	34103	Liahona 	2015		LEA26273111	a2627311	1522-9165	BX 8605.5 .D23	
