account	subaccount	title	year	price	orderNumber	titleControl	issn	callNumber	notes
11390015164034100	34100	Bepress journals	2015	$9162.30	LEA35252721	a3525272			Paid through GWLA
11390015164034100	34100	Bepress journals	2016	$9621.11	LEA35252721	a3525272			Paid through GWLA
11390015164034100	34100	CSA Illumina. Sage full-text collections	2015	$324.97	LEA33684609	a3368460			
11390015164034100	34100	CSA Illumina. Sage full-text collections	2016		LEA33684609	a3368460			
11390015164034100	34100	IBZ online	2015	$3270.68	LEA29092501	a2909250			
11390015164034100	34100	IBZ online	2016		LEA29092501	a2909250			
11390015164034101	34101	Blackwell Synergy	2015		LEA36610341	a3661034			
11390015164034101	34101	Blackwell Synergy	2016		LEA36610341	a3661034			
11390015164034101	34101	CSA Illumina. Sage full-text collections	2016		LEA33684605	a3368460			
11390015164034101	34101	Emerald management xtra	2015	$28169.00	LEA34964061	a3496406			
11390015164034101	34101	Emerald management xtra	2016	$29296.00	LEA34964061	a3496406			
11390015164034101	34101	Journal of the Society for American Music	2015	$249.00	LEA41719851	a4171985	1752-1963	ML 5 .J75	Cambridge / EBSCO
11390015164034101	34101	Journal of the Society for American Music	2016	$261.00	LEA41719851	a4171985	1752-1963	ML 5 .J75	Cambridge / EBSCO
11390015164034101	34101	Journal of world intellectual property 	2015		LEA36643541	a3664354	1747-1796		Wiley / GWLA
11390015164034101	34101	Journal of world intellectual property 	2016		LEA36643541	a3664354	1747-1796		Wiley / GWLA
11390015164034101	34101	Oxford journals 	2015	$20727.52	LEA39197001	a3919700			
11390015164034101	34101	Oxford journals 	2016		LEA39197001	a3919700			
11390015164034101	34101	Politiken 	2015	$381.55	LEA65759331	a6575933	0907-1814		
11390015164034101	34101	Strategic enrollment management quarterly	2015		LEA62622531	a6262253			Wiley / GWLA
11390015164034101	34101	Strategic enrollment management quarterly	2016		LEA62622531	a6262253			Wiley / GWLA
11390015164034101	34101	Wiley Journal Database	2015	$2274925.42	LEA36610343	a3661034			
11390015164034101	34101	Wiley Journal Database	2016		LEA36610343	a3661034			
11390015164034103	34103	Dialogue 	2015	$181.00	LEABC27551	ABC2755	0012-2157	BX 8605.1 .D541	Dialogue: a Journal of Mormon Thought
11390015164034103	34103	Dialogue 	2016	$181.00	LEABC27551	ABC2755	0012-2157	BX 8605.1 .D541	Dialogue: a Journal of Mormon Thought
11390015164034103	34103	Religious education 	2016	$217.00	LEDAR82181	DAR8218	0034-4087	BV 1460 .R3	T&F / EBSCO
11390015164034105	34105	Analysis	2015	$229.00	LEDBB55302	DBB5530	0003-2638	B 1 .A11	OUP / GWLA
11390015164034105	34105	Analysis	2016		LEDBB55302	DBB5530	0003-2638	B 1 .A11	OUP / GWLA
11390015164034105	34105	Apeiron 	2015	$313.00	LEDAY06572	DAY0657	0003-6390	B 1 .A6x	
11390015164034105	34105	Apeiron 	2016	$325.00	LEDAY06572	DAY0657	0003-6390	B 1 .A6x	
11390015164034105	34105	Augustinian studies	2015	$186.00	LEA44476111	a4447611	2153-7917		
11390015164034105	34105	Augustinian studies	2016	$186.00	LEA44476111	a4447611	2153-7917		
11390015164034105	34105	Continental philosophy review	2015	$1121.53	LEA25910021	a2591002	1387-2842	B 1 .A218	Springer / GWLA
11390015164034105	34105	Continental philosophy review	2016		LEA25910021	a2591002	1387-2842	B 1 .A218	Springer / GWLA
11390015164034105	34105	Cultural dynamics 	2016	$455.47	LEA37119481	a3711948	0921-3740		SAGE
11390015164034105	34105	Ethics	2015	$336.00	LEDBC33122	DBC3312	0014-1704	BJ 1 .I6	
11390015164034105	34105	Ethics	2016	$353.00	LEDBC33122	DBC3312	0014-1704	BJ 1 .I6	
11390015164034105	34105	European journal of social theory 	2015		LEA33663011	a3366301	1461-7137		SAGE
11390015164034105	34105	European journal of social theory 	2016	$425.74	LEA33663011	a3366301	1461-7137		SAGE
11390015164034105	34105	Human studies	2015	$1257.57	LEDAJ88591	DAJ8859	0163-8548	B 1 .H79	Springer / GWLA
11390015164034105	34105	Human studies	2016		LEDAJ88591	DAJ8859	0163-8548	B 1 .H79	Springer / GWLA
11390015164034105	34105	Journal of philosophical logic	2015	$1791.81	LEDBC84352	DBC8435	0022-3611	BC 51 .J68	Springer /  GWLA
11390015164034105	34105	Journal of philosophical logic	2016		LEDBC84352	DBC8435	0022-3611	BC 51 .J68	Springer /  GWLA
11390015164034105	34105	Kant-Studien; philosophische Zeitschrift	2015	$353.00	LEDBC87972	DBC8797	0022-8877	B 2750 .K3	
11390015164034105	34105	Kant-Studien; philosophische Zeitschrift	2016	$367.00	LEDBC87972	DBC8797	0022-8877	B 2750 .K3	
11390015164034105	34105	Mind	2015	$267.00	LEDBD09472	DBD0947	0026-4423	B 1 .M65	OUP / GWLA
11390015164034105	34105	Mind	2016		LEDBD09472	DBD0947	0026-4423	B 1 .M65	OUP / GWLA
11390015164034105	34105	Noûs 	2015		LEDBD35413	DBD3541	0029-4624	B 1 .N62	Wiley / GWLA
11390015164034105	34105	Noûs 	2016		LEDBD35413	DBD3541	0029-4624	B 1 .N62	Wiley / GWLA
11390015164034105	34105	Philosophical studies	2015	$4386.62	LEDBD49991	DBD4999	0031-8116	B 21 .P53	New package for 2009.  All subscriptions must be transferred to Harrassowitz.
11390015164034105	34105	Philosophical studies	2016		LEDBD49991	DBD4999	0031-8116	B 21 .P53	New package for 2009.  All subscriptions must be transferred to Harrassowitz.
11390015164034105	34105	Philosophy 	2015	$717.00	LEDBD50011	DBD5001	0031-8191	B 1 .P55	Cambridge / EBSCO
11390015164034105	34105	Philosophy 	2016	$767.00	LEDBD50011	DBD5001	0031-8191	B 1 .P55	Cambridge / EBSCO
11390015164034105	34105	The British journal of aesthetics	2015	$369.00	LEDAX29462	DAX2946	0007-0904	BH 1 .B7	OUP / GWLA
11390015164034105	34105	The British journal of aesthetics	2016		LEDAX29462	DAX2946	0007-0904	BH 1 .B7	OUP / GWLA
11390015164034105	34105	The journal of value inquiry	2015	$1513.06	LEDBC86311	DBC8631	0022-5363	BD 232 .J68	Springer / GWLA
11390015164034105	34105	The journal of value inquiry	2016		LEDBC86311	DBC8631	0022-5363	BD 232 .J68	Springer / GWLA
11390015164034105	34105	Theology & sexuality 	2015		LEA37124471	a3712447	1745-5170		Sage / UALC
11390015164034105	34105	Theology & sexuality 	2016		LEA37124471	a3712447	1745-5170		Sage / UALC
11390015164034105	34105	Theoria	2015		LEDBD96962	DBD9696	0040-5825	B 1 .A27	Wiley / GWLA
11390015164034105	34105	Theoria	2016		LEDBD96962	DBD9696	0040-5825	B 1 .A27	Wiley / GWLA
11390015164034105	34105	The Southern journal of philosophy	2015		LEDBD84492	DBD8449	0038-4283	B 1 .S57	Wiley
11390015164034105	34105	The Southern journal of philosophy	2016		LEDBD84492	DBD8449	0038-4283	B 1 .S57	Wiley
11390015164034107	34107	A Journal of Church and State	2015	$154.00	LEADP41082	ADP4108	0021-969X	BV 630 .A1 J6	OUP / GWLA
11390015164034107	34107	A Journal of Church and State	2016		LEADP41082	ADP4108	0021-969X	BV 630 .A1 J6	OUP / GWLA
11390015164034107	34107	Biblical theology bulletin 	2015		LEA55973051	a5597305	1945-7596		SAGE
11390015164034107	34107	Biblical theology bulletin 	2016	$101.65	LEA55973051	a5597305	1945-7596		SAGE
11390015164034107	34107	Christian bioethics	2015	$376.00	LEDGM39322	DGM3932	1380-3603	BJ 1188.5 .C474x	OUP / GWLA
11390015164034107	34107	Christian bioethics	2016		LEDGM39322	DGM3932	1380-3603	BJ 1188.5 .C474x	OUP / GWLA
11390015164034107	34107	Critical research on religion 	2015		LEA56279101	a5627910	2050-3032		SAGE
11390015164034107	34107	Critical research on religion 	2016	$191.78	LEA56279101	a5627910	2050-3032		SAGE
11390015164034107	34107	Currents in biblical research 	2015		LEA37119491	a3711949	1476-993X		SAGE
11390015164034107	34107	Currents in biblical research 	2016	$153.91	LEA37119491	a3711949	1476-993X		SAGE
11390015164034107	34107	History of religions	2015	$306.00	LEDBC58112	DBC5811	0018-2710	BL 1 .H5	
11390015164034107	34107	History of religions	2016	$322.00	LEDBC58112	DBC5811	0018-2710	BL 1 .H5	
11390015164034107	34107	International journal for philosophy of religion	2015	$1446.32	LEDBC71782	DBC7178	0020-7047	BL 51 .I65	Springer / GWLA
11390015164034107	34107	International journal for philosophy of religion	2016		LEDBC71782	DBC7178	0020-7047	BL 51 .I65	Springer / GWLA
11390015164034107	34107	Journal for the scientific study of religion	2015		LEDBC79133	DBC7913	0021-8294	BL 1 .J6	Wiley / GWLA
